,title,price,date,region
0,아이폰14 256G 자급제 미개봉 퍼플,880000,2분 전,서울특별시
1,액정/외관깨끗 아이폰14프로 블랙 배터리성능100% 512GB 23052,1100000,10분 전,전국
2,액정/외관깨끗 아이폰14프로 블랙 배터리성능100% 512GB 23052,1100000,12분 전,전국
3,아이폰14 프로 256 실버 S급 배터리98,980000,11분 전,광주광역시
4,아이폰14 프로맥스 128g 블랙 애플케어o 팝니다.,1050000,13분 전,경기도
5,아이폰14Pro MAX 256G 블랙 판매합니다,1040000,11분 전,전국
6,아이폰14-128 미개봉,463000,24분 전,대전광역시
7,"아이폰14 블루 128gb 팔아요 (새폰컨디션, 기스찍힘 없음)",690000,2분 전,전국
8,아이폰14프로맥스 512G+케어플러스포함,1300000,7분 전,서울특별시
9,아이폰14 256g 퍼플 미개봉 새상품 팝니다.,860000,10분 전,서울특별시
10,배터리98 A+급 아이폰14 128G 옐로우 (071),640000,25분 전,전국
11,플립5랑 아이폰14프로 교신원해요~,680000,30분 전,경상남도
12,A급 아이폰14 128G 화이트 (981),610000,35분 전,전국
13,아이폰14프로 128 판매합니다,799000,39분 전,전라남도
14,아이폰 14프로맥스 256GB 블랙,1210000,28분 전,전국
15,배터리98 A+급 아이폰14 128G 옐로우 (071),640000,33분 전,전국
16,아이폰14프로 256GB 실버 판매,930000,19분 전,충청남도
17,아이폰 14pro 스페이스 블랙 128GB,950000,25분 전,인천광역시
18,아이폰14프로맥스 512G,1230000,32분 전,전국
19,아이폰 14 프로 14pro 128 골드,950000,36분 전,전국
20,아이폰14프로맥스 128기가 골드 팝니다,1380000,39분 전,경상남도
21,아이폰14 프로 스페이스 블랙 128GB 자급제,850000,39분 전,경기도
22,배터리98 A+급 아이폰14 128G 옐로우 (071),640000,44분 전,전국
23,아이폰14프로 256 실버,950000,23분 전,전국
24,아이폰 14프로맥스 자급제 1테라 실버 단순개봉,1380000,39분 전,경기도
25,아이폰14프로128팝니다,850000,55분 전,서울특별시
26,아이폰 14 미드나이트 배터리 95%,540000,46분 전,전국
27,아이폰 14 퍼플 256 자급제 (미개봉 새제품),840000,47분 전,경기도
28,아이폰14프로256딥퍼플,900000,35분 전,경기도
29,아이폰 14프로 128G 블랙 배터리 89% 92만원에 팝니다,920000,59분 전,대전광역시
30,아이폰14pro 256gb 블랙 애플케어,950000,53분 전,경기도
31,아이폰 14 교환 교신,250000,56분 전,전국
32,아이폰 14프로 256g,820000,54분 전,충청북도
33,아이폰 14프로 128 화이트,870000,58분 전,전국
34,단순개봉 아이폰14 플러스 정품 실리콘게이스 초크핑크 팝니다,25000,54분 전,경기도
35,아이폰14프로 128g아이폰15프로나 프로맥스 교환 추금제시 여의도 직거,8282,32분 전,서울특별시
36,아이폰 14프로 실버 128기가 판매,800000,45분 전,경기도
37,아이폰14프로맥스 실버 256(배터리100찍힘x)+애케플(25.7월)급매,1380000,48분 전,전라남도
38,아이폰14,330000,1시간 전,전국
39,아이폰14 퍼플 256 배터리89프로,625000,1시간 전,전국
